it,start,end,latency,execution,sol
630,14101541,14437176,335635,39114,1
631,14121107,14456765,335658,39242,1
632,14140765,14476328,335563,39152,1
633,14160362,14495981,335619,39208,1
634,14179924,14515627,335703,39229,1
635,14199514,14535055,335541,39638,1
636,14219732,14554569,334837,39276,1
637,14239502,14574246,334744,39380,1
638,14259211,14593894,334683,39563,1
639,14279134,14613475,334341,39417,1
640,14298978,14632953,333975,39340,1
641,14318846,14652526,333680,39502,1
642,14338781,14672103,333322,39433,1
643,14358643,14691670,333027,39101,1
644,14378184,14711144,332960,39007,1
645,14397725,14730799,333074,39335,1
646,14417411,14750384,332973,39152,1
647,14436984,14770047,333063,39236,1
648,14456561,14789662,333101,39209,1
649,14476163,14809380,333217,39393,1
650,14495858,14828942,333084,39185,1
651,14515489,14848490,333001,38964,1
652,14534912,14868116,333204,39177,1
653,14554471,14887940,333469,39491,1
654,14574146,14907960,333814,39554,1
655,14593687,14927731,334044,39374,1
656,14613298,14947599,334301,39410,1
657,14632847,14967456,334609,39334,1
658,14652331,14986898,334567,39055,1
659,14671950,15006422,334472,39076,1
660,14691508,15026007,334499,39060,1
661,14710989,15045590,334601,39203,1
662,14730617,15065108,334491,39111,1
663,14750218,15084659,334441,39231,1
664,14769906,15104290,334384,39223,1
665,14789506,15123951,334445,39325,1
666,14809178,15143323,334145,38966,1
667,14828779,15162980,334201,39188,1
668,14848316,15182501,334185,39155,1
669,14867958,15202159,334201,39566,1
670,14887874,15221744,333870,39381,1
671,14907675,15241316,333641,39464,1
672,14927575,15260628,333053,39135,1
673,14947406,15280320,332914,39579,1
674,14967301,15299977,332676,39069,1
675,14986720,15319622,332902,39125,1
676,15006208,15339210,333002,39159,1
677,15025786,15358769,332983,39135,1
678,15045370,15378242,332872,39044,1
679,15064947,15397853,332906,39198,1
680,15084541,15418097,333556,39795,1
681,15104098,15437829,333731,39340,1
682,15123713,15457527,333814,39167,1
683,15143188,15477268,334080,39261,1
684,15162715,15497163,334448,39496,1
685,15182322,15516906,334584,39412,1
686,15201999,15536847,334848,39460,1
687,15221524,15556818,335294,39611,1
688,15241170,15576385,335215,38939,1
689,15260550,15596137,335587,39394,1
690,15280199,15615543,335344,38958,1
691,15299756,15635309,335553,39506,1
692,15319503,15654964,335461,39177,1
693,15339031,15674425,335394,39014,1
694,15358592,15694266,335674,39314,1
695,15378072,15713855,335783,39180,1
696,15397671,15733559,335888,39877,1
697,15417852,15753296,335444,39515,1
698,15437638,15772979,335341,39352,1
699,15457315,15792685,335370,39514,1
700,15477127,15812255,335128,39404,1
701,15496966,15831757,334791,39230,1
702,15516698,15851277,334579,39450,1
703,15536635,15870932,334297,39622,1
704,15556610,15890615,334005,39255,1
705,15576189,15910270,334081,39408,1
706,15595948,15929992,334044,39205,1
707,15615437,15949654,334217,39355,1
708,15635136,15969181,334045,39087,1
709,15654704,15988933,334229,39324,1
710,15674281,16008672,334391,39502,1
711,15694049,16028394,334345,39358,1
712,15713693,16047994,334301,39281,1
713,15733380,16067678,334298,39377,1
714,15753081,16087394,334313,39446,1
715,15772819,16107309,334490,39579,1
716,15792489,16127075,334586,39325,1
717,15812053,16147054,335001,39506,1
718,15831587,16166864,335277,39400,1
719,15851184,16186280,335096,38984,1
720,15870760,16206024,335264,39442,1
721,15890465,16225621,335156,39227,1
722,15910103,16245309,335206,39404,1
723,15929827,16264743,334916,39093,1
724,15949491,16284386,334895,39219,1
725,15969074,16303860,334786,39154,1
726,15988761,16323307,334546,39196,1
727,16008516,16342912,334396,39337,1
728,16028256,16362591,334335,39220,1
729,16047803,16382261,334458,39331,1
730,16067470,16401923,334453,39442,1
731,16087258,16421518,334260,39453,1
732,16107124,16441169,334045,39407,1
733,16126887,16460755,333868,39514,1
734,16146823,16480403,333580,39507,1
735,16166688,16499918,333230,38996,1
736,16186174,16519466,333292,39193,1
737,16205826,16539007,333181,39178,1
738,16225469,16558684,333215,39318,1
739,16245118,16578236,333118,39093,1
740,16264666,16597925,333259,39189,1
741,16284172,16617639,333467,39222,1
742,16303688,16637440,333752,39221,1
743,16323115,16657024,333909,39244,1
744,16342783,16676677,333894,39286,1
745,16362423,16696517,334094,39524,1
746,16382115,16716459,334344,39573,1
747,16401753,16736233,334480,39372,1
748,16421357,16756082,334725,39546,1
749,16441062,16775938,334876,39423,1
750,16460637,16795378,334741,39002,1
751,16480205,16814986,334781,39022,1
752,16499625,16834559,334934,39286,1
753,16519346,16854190,334844,39114,1
754,16538835,16873679,334844,39069,1
755,16558423,16893406,334983,39409,1
756,16578112,16913087,334975,39251,1
757,16597688,16932567,334879,39233,1
758,16617449,16952043,334594,39248,1
759,16637229,16971636,334407,39313,1
760,16656956,16991209,334253,39129,1
761,16676519,17010765,334246,39290,1
762,16696258,17030294,334036,39467,1
763,16716204,17049991,333787,39479,1
764,16735992,17069488,333496,39412,1
765,16755915,17089211,333296,39469,1
766,16775679,17108853,333174,39181,1
767,16795226,17128481,333255,39175,1
768,16814791,17148101,333310,39256,1
769,16834435,17167695,333260,39163,1
770,16854009,17187253,333244,39068,1
771,16873527,17207043,333516,39469,1
772,16893214,17227028,333814,39638,1
773,16912875,17246754,333879,39280,1
774,16932435,17266348,333913,39078,1
775,16951924,17286143,334219,39382,1
776,16971519,17306084,334565,39415,1
777,16990998,17325901,334903,39371,1
778,17010559,17345685,335126,39350,1
779,17030133,17365585,335452,39571,1
780,17049812,17385207,335395,39170,1
